#MPI_Ssend		
#size[kB]	bandwidth[Mb/s]	bandwidth[Mb/s]
650	159.82608	129.99144
651	244.985443	107.280876
652	238.669891	181.264099
653	247.558548	242.708893
654	150.950806	149.692795
655	156.496368	150.63414
656	198.620148	142.231628
657	239.911682	125.101669
658	243.990891	184.874527
659	232.431137	238.969391
660	240.558746	240.315979
661	232.135574	229.572342
662	234.175568	231.509659
663	186.994537	139.193619
664	143.283691	231.628891
665	202.629135	155.744125
666	243.214325	124.866341
667	122.221939	136.544662
668	163.281982	238.477188
669	136.472916	217.59584
670	112.890236	239.314514
671	97.583	150.341431
672	115.915344	122.471176
673	160.2211	188.791016
674	236.160278	232.404892
675	232.660309	169.081009
676	222.90831	123.710686
677	237.830475	127.64241
678	135.616425	217.010406
679	209.596909	206.415894
680	191.883362	160.127213
681	121.520134	234.407547
682	119.319115	165.323715
683	133.666641	150.945374
684	169.85672	101.435974
685	252.437576	97.323822
686	170.401276	94.229172
687	141.169662	144.288742
688	198.779007	116.297333
689	245.27179	103.75193
690	233.887466	85.895699
691	241.168732	77.883377
692	244.926086	88.417427
693	249.899887	144.352737
694	236.442184	153.070511
695	255.774033	159.231232
696	152.143311	231.728226
697	127.906273	249.21962
698	132.107178	154.920776
699	241.343231	186.295212
700	241.614334	242.48526
701	167.13179	150.870239
702	132.675034	151.574524
703	145.482056	135.081055
704	251.147476	104.115417
705	240.914536	92.036964
706	242.245956	88.445885
707	235.280975	79.169197
708	226.631393	148.936401
709	227.671814	239.034241
710	238.352844	144.466095
711	235.391068	97.23687
712	241.722427	99.912971
713	232.840317	141.259399
714	152.968628	119.148491
715	133.468323	145.062363
716	217.006195	221.361298
717	183.081436	209.883896
718	150.668503	235.377853
719	98.864288	236.537186
720	90.198463	226.314056
721	142.723846	237.950058
722	145.351471	208.240082
723	142.982254	131.779022
724	140.115875	133.130524
725	142.967941	100.151482
726	115.010788	90.98922
727	106.356392	130.481873
728	154.193359	108.418121
729	169.805145	99.244255
730	124.734138	109.208
731	107.924339	95.426102
732	87.396446	223.586807
733	108.413147	221.616562
734	142.815567	136.829086
735	106.064781	114.097305
736	99.01442	74.797806
737	104.776756	93.681198
738	105.735771	95.955589
739	116.175728	137.930542
740	141.262665	149.755188
741	136.449387	124.919983
742	144.3423	134.037476
743	149.290787	125.449272
744	242.482285	114.624191
745	259.571808	134.67514
746	163.774033	87.011757
747	205.073486	80.839035
748	167.943039	83.085548
749	168.659225	80.859116
750	145.84964	80.029839
751	176.26033	81.647888
752	150.119186	90.142265
753	141.464264	129.402557
754	148.561066	132.041107
755	160.746567	130.094666
756	144.030777	134.523911
757	148.905334	102.895195
758	150.506912	124.16806
759	147.950623	114.240646
760	135.197968	117.648285
761	118.751274	138.351105
762	106.122887	101.243797
763	102.3078	93.609642
764	136.101212	113.103477
765	147.28006	229.690994
766	147.301193	234.126221
767	152.334854	242.979385
768	123.285736	222.116669
769	120.75074	242.139664
770	105.336487	228.25647
771	112.631645	230.906982
772	102.526779	224.323425
773	85.813606	237.7117
774	113.105995	170.206619
775	149.903915	157.785004
776	142.479553	157.776016
777	138.123474	240.155853
778	102.373413	230.43869
779	127.05349	230.706467
780	115.701904	215.318314
781	89.166878	135.589294
782	84.289322	158.120865
783	85.026436	228.13092
784	145.004745	135.910904
785	111.509895	106.761726
786	86.417061	145.228745
787	98.936058	206.765945
788	156.352051	132.745743
789	154.210297	125.904366
790	144.695282	112.322632
791	143.887482	101.404213
792	108.877739	129.133682
793	103.798882	167.268509
794	101.66787	244.817429
795	111.954948	249.619354
796	105.324417	242.047272
797	93.636703	246.648682
798	98.235458	240.807861
