#MPI_Send				
#size[kB]	latency[ms]	bandwidth[Mb/s]	latency mavg	b mavg
220	9.024195	192.718628	8.60455675	211.5735107
221	8.743348	198.908966	8.59726625	212.6645416
222	8.229479	211.329361	8.5943641	213.6845222
223	8.071534	220.252777	8.6197604	214.01809765
224	8.582868	207.130981	8.6832636	213.20051345
225	8.059332	220.586243	8.9523066	209.8307068
226	8.154042	218.024094	9.0085266	209.42463225
227	10.849005	163.865524	9.06282215	209.08202895
228	8.73466	208.15715	8.97148775	211.70204775
229	8.218294	221.235916	8.9848425	212.1321854
230	8.535705	213.008987	9.0444216	211.4383248
231	8.823704	206.056534	9.1578052	210.0442399
232	8.324433	218.415085	9.89621385	203.9801606
233	8.455276	220.035995	9.94629605	203.78202905
234	8.423999	220.852951	9.9810223	203.70942775
235	8.270652	224.94783	10.0333723	203.22532815
236	8.649721	215.089615	10.0886386	202.64349145
237	8.486421	219.228485	10.1289199	202.46503685
238	8.866488	209.831131	10.5027579	197.9286538
239	8.587979	221.793961	11.22479755	191.8376149
240	8.878385	214.539246	11.91634225	185.3228169
241	8.685305	219.308578	11.95150255	185.3001423
242	8.737405	218.00087	11.9828373	185.3488995
243	9.341598	203.901093	12.01406985	185.4041531
244	13.963728	139.734848	12.01618205	186.4265896
245	9.183732	212.464752	11.79954815	190.3694088
246	9.239953	211.172028	11.8235905	190.6378155
247	9.022317	216.2659	11.8232073	191.48084605
248	9.001755	216.759903	12.067214	188.23910485
249	9.409876	207.358704	12.68456295	182.3317608
250	10.803377	185.127289	13.2029638	177.28608895
251	23.591877	84.774948	13.41146665	175.24971885
252	9.326077	214.452454	13.2399713	176.37295265
253	9.149801	218.583969	13.47558915	173.35119665
254	9.470999	211.170959	13.8447746	168.960725
255	9.375978	213.311096	13.9368379	167.9588932
256	9.455347	211.520523	14.13352555	165.4158253
257	15.963181	128.500824	14.19952845	164.87265745
258	23.307281	88.010353	14.7473903	162.57500805
259	22.418873	91.498001	14.32633465	165.63854145
260	9.581591	214.085754	13.6878979	172.57758185
261	9.312	220.283722	13.70742545	173.01544505
262	9.362056	219.105942	14.15392815	168.09219065
263	9.383842	224.349823	14.8211919	162.0300763
264	9.63105	218.591232	15.0158263	159.1815724
265	9.664579	217.832886	15.0219196	159.64461485
266	9.232289	228.032639	15.0412263	160.1238774
267	13.902451	151.431076	15.4308462	155.43518565
268	21.348734	98.613022	15.37575935	156.79170495
269	19.777893	106.445267	14.80714575	163.31658975
270	14.973434	144.399887	14.599514	165.30849115
271	20.16197	107.239624	14.3466552	169.6135815
272	14.038434	154.017334	13.95359525	173.54253965
273	16.53351	130.774536	14.15967775	172.13490985
274	11.312265	191.134323	14.6523521	170.054707
275	13.309731	162.449738	15.1302139	166.1352631
276	10.775405	200.657166	15.0927538	167.3791855
277	26.920418	82.547836	15.08692165	168.38391875
278	14.886168	149.281021	14.2569038	175.656369
279	9.650138	230.278809	14.0335337	179.4841606
280	9.972142	222.843018	14.06724615	179.3652847
281	18.242054	121.818634	14.08664795	179.57883295
282	22.707331	97.863655	13.70882025	184.49787365
283	13.27653	167.379745	13.1252233	190.58863485
284	9.752916	227.852081	13.26519975	189.75956305
285	10.050713	227.418137	13.3035205	189.8897564
286	17.024687	134.258804	13.5407605	186.71134145
287	12.800714	178.561462	13.54625185	187.07255055
288	9.976462	229.110718	14.1699253	182.94036445
289	15.625258	146.283295	14.59981265	178.01065785
290	9.916258	230.501694	14.56524965	178.8130153
291	12.300771	185.818787	14.60349905	178.63605605
292	18.160084	125.864738	14.91890875	176.06230955
293	26.386997	89.170479	15.27456545	174.71501955
294	20.869501	112.745445	15.14348445	175.51624785
295	12.560529	187.328186	14.77513595	179.1364997
296	10.658762	220.751831	14.69498015	181.177893
297	10.320061	227.996841	14.7125811	181.4928115
298	10.418766	225.836853	15.13586085	176.7469825
299	10.324387	227.901291	15.2109645	175.94097815
300	10.360178	227.113983	15.3550156	174.0117316
301	10.6855	220.199448	15.85603935	168.78930005
302	11.035392	219.678879	16.51010785	163.20840825
303	16.076059	150.798309	17.49548015	156.4216128
304	10.519331	230.455948	17.4182259	157.7615054
305	14.795513	163.849838	17.47318505	157.34445295
306	17.134514	141.482986	17.45131735	158.13864625
307	25.274183	95.91774	17.34488685	159.6632633
308	18.574209	130.516586	16.65175335	166.17457615
309	14.933998	162.330444	16.8690187	165.27854535
310	10.681246	226.962509	16.6938158	168.45099335
311	18.608965	134.343857	16.762273	167.81059265
312	25.273218	98.918938	16.53710505	170.54590605
313	23.765377	105.195045	16.1340474	173.34646335
314	13.502531	185.150482	15.52241335	179.6480438
315	10.957413	228.156052	15.4543669	181.3720474
316	11.010781	227.050201	15.53443955	180.58091505
317	18.785656	133.080261	15.56488245	180.7032303
318	11.920839	209.716766	15.22683645	185.13747105
319	13.205409	189.31636	15.2768596	184.9705109
320	20.380653	122.665352	15.4627057	183.38382805
321	23.76687	108.581612	15.3650814	184.48586165
322	30.742838	83.94297	15.0725715	186.4986397
323	14.530974	177.596161	14.4069708	190.21454435
324	11.618514	222.114899	14.2714634	193.00321315
325	14.358159	179.733704	15.05607065	186.9479153
326	15.005904	171.975327	15.92640945	182.30347215
327	11.411513	226.143997	16.0790469	181.3426529
328	22.919516	112.59597	16.6420797	176.11916925
329	11.42994	225.779404	16.39321425	178.1768883
330	12.05039	214.154495	16.49730875	177.09608615
331	14.105606	189.050125	16.5408736	177.0627442
332	17.212065	154.930084	16.43686605	179.0801606
333	11.532696	231.226654	16.1967332	182.44869395
334	12.141602	219.630554	16.2535174	181.7751809
